Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
Rebeca Abravanel Jequitifor women,Jequiti,for women,"Red Fruits, Orchid and Apple","Jasmine, Caramel and Ylang-Ylang","Vanilla, Musk and Amber","['fruity', 'sweet', 'floral', 'powdery', 'fresh', 'white floral', 'vanilla', 'caramel', 'musky']",Winter,Night
Rebeca Abravanel Encanto Jequitifor women,Jequiti,for women,Mandarin Orange,Flowers,Transparent Flowers,"['citrus', 'floral']",All Season,Day
Rebeca Abravanel Radiante Jequitifor women,Jequiti,for women,"Pear, Bergamot and White Meranti","Freesia, Peony, Rose and Plum","Ambroxan, Patchouli and Vanilla","['floral', 'rose', 'fresh', 'citrus']",Spring,Day
Rodrigo Faro Jequitifor men,Jequiti,for men,"Lime, Pepper, Apple and Cardamom","Geranium, Ginger, Lavender and Cedar","Patchouli, Amber, Tonka Bean and Musk","['warm spicy', 'fresh spicy', 'aromatic', 'woody', 'patchouli', 'citrus', 'lavender', 'amber', 'herbal', 'rose']",All Season,Any
Rodrigo Faro Casual Jequitifor men,Jequiti,for men,"Sage, Bergamot and Mandarin Orange","Neroli, Geranium and Iris","Cedar, Vetiver, Amber and Labdanum","['woody', 'aromatic', 'citrus', 'fresh spicy', 'earthy', 'herbal', 'amber', 'powdery', 'white floral', 'green']",Spring,Day
Rodrigo Faro Energy Jequitifor men,Jequiti,for men,"Mandarin Orange, Bergamot and Rosemary","Rose, Violet and Cashmeran","Patchouli, Amber, Tonka Bean and Musk","['woody', 'citrus', 'powdery', 'rose', 'amber', 'musky', 'aromatic', 'fresh spicy', 'floral', 'violet']",Spring,Any
Rodrigo Faro Infinity Jequitifor women and men,Jequiti,for women and men,"Bergamot, Orange and Green Leaves","Lavender, Apple and Orange Blossom","Cedar, Tonka Bean and Leather","['citrus', 'green', 'fresh spicy', 'woody', 'aromatic', 'sweet', 'lavender', 'white floral', 'leather', 'fruity']",Spring,Day
Rodrigo Faro Sport Jequitifor men,Jequiti,for men,"Apple, Lemon Leaf and Bergamot","Violet Leaf, Geranium and Mint","ebony tree, Cedar, Tonka Bean and Sandalwood","['woody', 'green', 'aromatic', 'fresh spicy', 'citrus', 'fruity', 'ozonic', 'aquatic', 'warm spicy', 'fresh']",Summer,Day
Rodrigo Faro Único Jequitifor men,Jequiti,for men,"Black Pepper, Grapefruit, Artemisia, Sage and Bergamot","Rosemary, Violet, Cardamom and Sandalwood","Cashmeran, Cedar, Leather, Vetiver, Amber, Oakmoss and Musk","['woody', 'powdery', 'musky', 'aromatic', 'fresh spicy', 'amber', 'leather']",Fall,Night
Royal Madeira Jequitifor men,Jequiti,for men,"Lavender, Orange Blossom and Bergamot","Sandalwood, Geranium and Black Pepper","Tonka Bean, Moss and Musk","['fresh spicy', 'aromatic', 'woody', 'warm spicy', 'lavender', 'powdery', 'white floral', 'citrus', 'sweet', 'vanilla']",Spring,Night
Royal Madeira Jequitifor women,Jequiti,for women,Mandarin Orange and Green Leaves,Rose and Peach,"Musk, Sandalwood and Vanila","['citrus', 'green', 'powdery', 'musky', 'woody', 'rose', 'warm spicy', 'fruity', 'sweet', 'floral']",Spring,Any
Royal Madeira Absoluto Jequitifor men,Jequiti,for men,"Nutmeg, Yuzu, Pomelo and Bergamot","Violet, Pear, Lavender, Oakmoss and Sage","Tonka Bean, Sandalwood, Amber and Cedar","['fresh spicy', 'woody', 'citrus', 'amber', 'powdery', 'aromatic', 'sweet', 'vanilla', 'violet', 'floral']",Spring,Night
Royal Madeira Blanc Jequitifor women,Jequiti,for women,"Green Notes, Fruity Notes and Pepper",Floral Notes,White Cedar Extract and Precious Woods,"['woody', 'floral', 'fruity', 'green', 'fresh spicy']",Spring,Day
Royal Madeira Singular Jequitifor men,Jequiti,for men,"Cardamom, Plum, Mandarin Orange and Green Notes","Nutmeg, Lavender, Sage and Basil","Cedar, Woody Notes, Vetiver and Amber","['aromatic', 'fresh spicy', 'woody', 'fruity', 'green', 'warm spicy', 'lavender', 'herbal', 'citrus', 'sweet']",All Season,Day
Royal Madeira Supremo Jequitifor men,Jequiti,for men,"Apple, Pineapple, Citruses and Oily Notes","Orange Blossom, Precious Woods, Violet and Nutmeg","Amber, Musk, Sandalwood, Patchouli, Vetiver and Suede","['woody', 'powdery', 'fruity', 'musky', 'citrus', 'fresh', 'fresh spicy', 'sweet', 'earthy', 'amber']",Fall,Night
Royal Madeira Único Jequitifor men,Jequiti,for men,"Apple, Black Pepper, Bergamot and African Ginger","Lavender, dark woodsy notes, Jasmine and Tonka Bean","Cedar, Sandalwood, Musk and Ambrocenide","['woody', 'fresh spicy', 'lavender', 'warm spicy', 'aromatic', 'powdery', 'citrus', 'musky', 'fruity', 'fresh']",Summer,Day
Royal Madeira Vetiver Jequitifor women and men,Jequiti,for women and men,"Lemon, Bergamot and Grapefruit","Lavender, Geranium and Black Pepper","Vetiver, Amber, Cedar and Tonka Bean","['citrus', 'woody', 'aromatic', 'fresh spicy', 'earthy']",Fall,Day
Só Você Fábio Jr. Jequitifor women,Jequiti,for women,"Apple, Rose, Bergamot and Lemon","Rose, Orchid and Ylang-Ylang","Sandalwood, Musk and Red Cedar","['floral', 'rose', 'fruity', 'woody', 'citrus', 'powdery', 'fresh', 'fresh spicy', 'aromatic', 'sweet']",Spring,Any
Só Você Fábio Jr. Jequitifor men,Jequiti,for men,"Lemon, Bergamot and Mandarin Orange","Jasmine, Black Pepper and Nutmeg","Vanilla, Musk, Patchouli, Amber and Cedar","['white floral', 'citrus', 'fresh spicy', 'woody', 'powdery', 'amber', 'vanilla', 'patchouli', 'musky', 'warm spicy']",All Season,Night
Só Você Fábio Jr. Momentos Jequitifor women,Jequiti,for women,"Cassis, Mandarin Orange, Bergamot and Grapefruit","Rose, Jasmine, Lily-of-the-Valley and Peach","Praline, Amber, Cedar and Musk","['citrus', 'rose', 'fruity', 'white floral', 'aromatic', 'sweet', 'green', 'amber', 'soft spicy', 'woody']",Spring,Night
Só Você Fábio Jr. Momentos Jequitifor men,Jequiti,for men,"Basil, Grapefruit, Green Notes and Bergamot","Geranium, Violet and Lavender","Vetiver, Vanilla, Sandalwood, Musk and Amber","['aromatic', 'fresh spicy', 'green', 'citrus', 'woody', 'herbal', 'powdery', 'vanilla', 'earthy']",All Season,Any
Taís Jequitifor women,Jequiti,for women,"Melon, Kiwi, Grapefruit, Cassis and Pear","Orchid, Mimosa, Magnolia, Jasmine and Lily-of-the-Valley","Sandalowood, Musk and Cedar","['fruity', 'floral', 'fresh', 'sweet', 'powdery', 'woody', 'citrus', 'aquatic', 'ozonic', 'aromatic']",Summer,Day
Atlético Mineiro Jequitifor men,Jequiti,for men,"Mandarin Orange, Neroli, Orange, Black Pepper and Aldehydes","Cedar, Sandalwood, Juniper and Rose","Vetiver, Amber and Musk","['woody', 'citrus', 'fresh spicy', 'aromatic', 'powdery', 'aldehydic', 'fresh', 'amber', 'rose', 'musky']",All Season,Any
Botafogo F.R. Jequitifor men,Jequiti,for men,"Lavender Extract, Bergamot and Wild Lavender","Plum, Violet Leaf and Ozonic notes","Moss, Musk, Vetiver, Amber and Sandalwood","['woody', 'ozonic', 'aromatic', 'earthy', 'powdery', 'citrus', 'fruity', 'amber', 'lavender', 'mossy']",Fall,Night
Corinthians Jequitifor men,Jequiti,for men,"Bergamot, Green Leaves and Orange","Sage, Geranium, Metallic notes and Lavender","Cedar, Vetiver and Musk","['aromatic', 'citrus', 'fresh spicy', 'green', 'woody', 'herbal', 'metallic', 'musky', 'powdery']",All Season,Day
