Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
L'Aventure Blanche Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Lemon, Bergamot, Lavender and Rose","Black Currant, Jasmine, Orris and Lily-of-the-Valley",Sandalwood and Amber,"['citrus', 'white floral', 'aromatic', 'woody', 'fruity', 'floral', 'powdery', 'fresh spicy', 'lavender', 'iris']",Spring,Day
L'Aventure Ciel Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Bergamot, Citrus and Lemon","Violet Leaf, Jasmine Tea and Lavender","Sandalwood, Ambergris and Musk","['ozonic', 'aquatic', 'green', 'amber', 'musky', 'floral', 'woody', 'powdery', 'fresh', 'animalic']",Summer,Day
L'Aventure Femme Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Pineapple, Black Currant, Bergamot and Wild Berries","Cedar, Freesia and Rose","Musk, Sandalwood, Amber and Vanilla","['fruity', 'woody', 'powdery', 'sweet', 'musky', 'floral', 'citrus', 'tropical', 'aromatic']",Summer,Night
L'Aventure Gold Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Bergamot, Black Currant and Green Leaves","Lily-of-the-Valley, Plum, Jasmine, Rose and Orchid","Musk, Vanilla and Sandalwood","['fruity', 'citrus', 'musky', 'green', 'white floral', 'powdery', 'fresh spicy', 'fresh', 'woody', 'aromatic']",Spring,Day
L'Aventure Grapefruit Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lychee, Blackcurrant, Red Berries and Grapefruit","Freesia, Magnolia, Jasmine, Melon, Rose, Iris, Lily of the Valley and Almond Blossom","Sandalwood, Vanilla, Musk, Benzoin, Caramel, Patchouli and Vetiver","['floral', 'fruity', 'powdery', 'woody', 'white floral', 'fresh', 'vanilla', 'sweet', 'rose', 'musky']",Spring,Night
L'Aventure Intense Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Bergamot, Lemon and elemi","Woody Notes, Jasmine and Lily-of-the-Valley","Musk, Amber and Patchouli","['citrus', 'woody', 'aromatic', 'fresh spicy', 'musky']",All Season,Any
L'Aventure Iris Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lemon, Bergamot, Cardamom and Green Notes","Iris, Aromatic Notes, Clary Sage, Jasmine, Lavender, Patchouli and Cedarwood","Vanilla, Amber, Musk and Benzoin","['powdery', 'aromatic', 'iris', 'amber', 'vanilla', 'citrus', 'musky', 'soft spicy', 'white floral', 'warm spicy']",Spring,Night
L'Aventure Knight Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Lemon Verbena, Bergamot and Tea",Violet Leaf and Iris,"Powdery Notes, Ambergris, Musk and Sandalwood","['powdery', 'citrus', 'ozonic', 'woody', 'iris', 'amber', 'green', 'musky', 'aquatic', 'animalic']",All Season,Day
L'Aventure Rose Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Rose, Citruses and Red Berries",Rose and Jasmine,Musk and Amber,"['rose', 'musky', 'amber', 'powdery', 'floral', 'white floral', 'citrus', 'animalic']",Spring,Night
Lamsa Gold Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Grapes, Apple and Citruses",Jasmine and Rose,Vanilla and Musk,"['vanilla', 'powdery', 'musky', 'fruity', 'sweet', 'white floral', 'rose']",Spring,Night
Lamsa Silver Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Ylang-Ylang and Jasmine,Cyclamen and Palisander Rosewood,"Musk, Cedar and Sandalwood","['woody', 'powdery', 'floral', 'musky', 'white floral', 'yellow floral', 'sweet']",Spring,Night
Mukhallath Al Sultan Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Cypriol Oil or Nagarmotha, Bergamot, Plum, Aldehydes and Mango","Rose, Geranium, Saffron, Ylang-Ylang, Jasmine, Orris Root and Lily-of-the-Valley","Agarwood (Oud), Sandalwood, Musk, Cedar, Amber, Rose and Vanilla","['woody', 'powdery', 'oud', 'fresh spicy', 'warm spicy', 'rose', 'musky', 'white floral', 'aromatic', 'earthy']",Spring,Night
Mukhallath Seufi Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Geranium, Plum, Aldehydes, Bergamot, Sage, Lavender, Lime, Mango and Orange","Turkish Rose, Saffron, Geranium, Nutmeg, Cloves, Palisander Rosewood, Jasmine, Ylang-Ylang, Orris Root and Lily-of-the-Valley","Agarwood (Oud), Musk, Sandalwood, Tonka Bean, Patchouli, Amber, Vetiver, Moss, Cedar and Vanilla","['rose', 'warm spicy', 'woody', 'fresh spicy', 'oud', 'aromatic', 'powdery', 'sweet', 'musky', 'amber']",All Season,Night
Manege Blanche Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Oriental notes and Vanilla,Saffron and Patchouli,Musk and Guaiac Wood,"['warm spicy', 'woody', 'patchouli', 'musky', 'amber', 'powdery', 'earthy', 'metallic', 'vanilla']",All Season,Night
Manege Rouge Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Saffron, Orange and Jasmine",Caramel and Cotton Candy,Oakmoss and Amber,"['sweet', 'caramel', 'warm spicy', 'citrus', 'mossy', 'earthy', 'amber', 'metallic', 'white floral', 'leather']",All Season,Night
Mukhamria Maliki Gold Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Jasmine and Saffron,Patchouli and Vanilla,Musk and Amber,"['musky', 'powdery', 'white floral', 'amber', 'warm spicy', 'animalic']",Winter,Night
Mukhamria Maliki Silver Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Rose and Saffron,Lily-of-the-Valley and Vetiver,Musk and Sandalwood,"['rose', 'warm spicy', 'white floral', 'woody', 'metallic', 'floral', 'fresh', 'leather', 'green', 'musky']",Spring,Any
Amber Musk Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Amber, Agarwood (Oud) and Musk","Raspberry, Rose, Birch and Saffron","Amberwood, Geranium and Benzoin","['amber', 'warm spicy', 'rose', 'fruity', 'leather', 'woody', 'fresh spicy', 'musky', 'oud', 'sweet']",Winter,Night
Musk Black Vanilla Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Black Currant, Herbal Notes and Cedar","Vanilla, Amber and Spices","Incense, Patchouli and Musk","['amber', 'balsamic', 'smoky', 'warm spicy', 'fruity', 'patchouli', 'vanilla', 'soft spicy']",Winter,Night
Musk Clean Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lavender, Amber, Vanilla and Peach","Sandalwood, Musk and Patchouli","Floral Notes, Ylang-Ylang and Cinnamon","['lavender', 'musky', 'woody', 'powdery', 'floral', 'warm spicy', 'amber', 'aromatic', 'cinnamon', 'yellow floral']",Winter,Night
Musk Collection Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lemon, White Flowers and Mint","Ginger, Nutmeg, Jasmine and Lily-of-the-Valley","Rose, Musk, Cedar, Sandalwood and Patchouli","['woody', 'powdery', 'rose', 'white floral', 'musky', 'citrus', 'warm spicy', 'floral', 'fresh']",Spring,Day
Musk Floral Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Peach, Vanilla, Amber and Lavender","Musk, Sandalwood and Patchouli","Floral Notes, Ylang-Ylang and Cinnamon","['floral', 'powdery', 'musky', 'sweet', 'fruity', 'amber', 'vanilla', 'yellow floral', 'woody']",Winter,Night
Musk Maliki Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Violet, Violet Leaf, Lemon and Green Apple","Moroccan Jasmine, Italian Jasmine, Geranium and Bulgarian Rose","Musk, Narcissus and Sandalwood","['powdery', 'white floral', 'musky', 'aromatic', 'violet', 'fresh spicy', 'woody', 'floral', 'rose', 'ozonic']",Spring,Day
Musk Orchid Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Orchid, Almond and Coffee","Orris, Tuberose and Jasmine","Vanilla, Sandalwood, Tonka Bean and Cacao Pod","['powdery', 'floral', 'vanilla', 'sweet', 'iris', 'white floral', 'warm spicy', 'woody', 'cacao', 'coffee']",Spring,Night
Musk Poudree Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lily-of-the-Valley, Orris Root and Benzoin","Ylang-Ylang, Musk and Beeswax","Patchouli, Coumarin, Vetiver and Cedar","['white floral', 'amber', 'iris', 'warm spicy', 'earthy', 'fresh', 'vanilla', 'green', 'aromatic', 'balsamic']",Spring,Night
Royal Musk Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Ylang-Ylang, Pepper and Bergamot","Orris, Lily-of-the-Valley and Jasmine",Musk and Beeswax,"['powdery', 'iris', 'musky', 'white floral', 'beeswax', 'yellow floral', 'animalic', 'woody', 'earthy', 'honey']",Spring,Night
Opulent Saffron Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Cherry Blossom, Ylang-Ylang and Bergamot","Amaretto, Heliotrope, Powdery Notes and Rose","Suede, Amber and Tonka Bean","['powdery', 'almond', 'floral', 'fruity', 'leather', 'amber', 'vanilla', 'musky', 'fresh', 'rose']",All Season,Night
Opulent Sapphire Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Myrtle, Lemon, Bergamot and Basil","Sea Notes, Rose and Jasmine","Juniper, Cedar and Amber","['aromatic', 'fresh spicy', 'marine', 'citrus', 'woody', 'herbal', 'rose', 'white floral']",All Season,Day
Portfolio Cupid's Rose Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Rose and Bergamot,"plum, Cinnamon and Cedar","Patchouli, Agarwood (Oud) and Sandalwood","['woody', 'warm spicy', 'patchouli', 'rose', 'fruity', 'cinnamon', 'oud', 'sweet', 'earthy', 'balsamic']",Winter,Night
Portfolio Floral Sculpture Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Carnation, Peony and Bergamot",Patchouli and Rose,"Amber, Ambergris, Musk and Benzoin","['amber', 'rose', 'floral', 'warm spicy', 'patchouli', 'woody', 'balsamic', 'animalic', 'musky', 'earthy']",All Season,Night
Portfolio Imperial Oud Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Animal notes and Amber,"Myrhh, Incense and Ambrarome","Agarwood (Oud), Patchouli and Musk","['amber', 'balsamic', 'warm spicy', 'animalic', 'oud', 'woody', 'musky', 'smoky']",Winter,Night
Portfolio Neroli Canvas Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Petitgrain, Bergamot and Lemon",Neroli and Orange Blossom,"Musk, Amber and Cedar","['citrus', 'white floral', 'aromatic', 'fresh spicy', 'green', 'fresh']",Spring,Day
Portfolio Oriental Forest Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Bergamot, Cardamom and Carnation","Cinnamon, Labdanum, Nutmeg, Carnation, Cedar, Galbanum and Cumin",Myrhh,"['warm spicy', 'amber', 'aromatic', 'fresh spicy', 'cinnamon', 'citrus', 'floral', 'balsamic', 'woody']",Winter,Day
Portfolio Portrait Sandal Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Black Pepper and Neroli,"Cypriol Oil or Nagarmotha, Rose, Cinnamon, Leather and Ylang-Ylang","Ambergris, Sandalwood, Vanilla and Tonka Bean","['woody', 'warm spicy', 'fresh spicy', 'earthy', 'amber', 'cinnamon', 'rose', 'animalic', 'leather', 'balsamic']",Winter,Night
Portfolio Royale Stallion Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Cumin, Heliotrope and Bergamot","Bitter Almond, Lavender and Jasmine","Vanilla, Sandalwood and Amber","['almond', 'vanilla', 'powdery', 'fresh spicy', 'lavender', 'woody', 'nutty', 'floral', 'sweet', 'fruity']",All Season,Night
Amber Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Spicy Notes, Saffron, Cloves, Geranium, Lemon and Lavender","Sandalwood, Rose, Cedar, Orris and Artemisia","Amber, Patchouli, Labdanum, Guaiac Wood, Sandalwood, Musk and Amyris","['woody', 'warm spicy', 'amber', 'patchouli', 'aromatic', 'powdery', 'musky', 'rose', 'balsamic', 'fresh spicy']",Winter,Night
Madinah Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Rose, Geranium, Davana, Orange and Bergamot","Rose, Saffron, Sandalwood, Orchid, Jasmine, Cedar and Cloves","Sandalwood, Musk, Floral Notes, Cedar, Amber and Cashmeran","['rose', 'floral', 'warm spicy', 'woody', 'powdery', 'white floral', 'metallic', 'leather']",Spring,Night
Makkah Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Citruses and Green Notes,"Big Strawberry, Orange Blossom and Jasmine","Resins, Amber, Powdery Notes, Vanilla and Musk","['amber', 'powdery', 'fruity', 'sweet', 'vanilla', 'white floral', 'balsamic', 'musky', 'citrus']",All Season,Night
Amber Sanitizer Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Rose, Bergamot and Orange","Saffron, Orris, Geranium and Cedar","Musk, Labdanum, Amber, Incense, Guaiac Wood and Vanilla","['musky', 'iris', 'warm spicy', 'powdery', 'metallic', 'leather', 'earthy', 'tobacco']",Winter,Night
Oudi Sanitizer Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Sweet Notes and Rose,"Woody Notes, Citruses, Leather and Smoke","Labdanum, Resin, Musk, Amber and Agarwood (Oud)","['amber', 'woody', 'musky', 'smoky', 'sweet', 'citrus', 'leather', 'rose', 'oud', 'animalic']",Fall,Night
Haramain Signature Blue Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Lemon, Green Leaves, Bergamot, Grapefruit and Bitter Orange",Geranium,"Cedar, Vetiver and Patchouli","['citrus', 'green', 'aromatic', 'woody', 'fresh spicy']",Fall,Day
Haramain Signature Red Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Bergamot, Mandarin Orange and Green Notes","Violet, Nutmeg, Jasmine and Cumin","Leather, Sandalwood, Cedar and Patchouli","['violet', 'powdery', 'leather', 'woody', 'citrus', 'fresh spicy', 'floral', 'animalic', 'fresh']",Spring,Day
Haramain Signature Rose Gold Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Black Currant, Bergamot, Mandarin Orange and Ylang-Ylang","Jasmine, Orris, Dried Fruits, Freesia and Peach","Musk, Amber and Vanilla","['fruity', 'powdery', 'musky', 'white floral', 'citrus', 'floral', 'iris', 'woody', 'amber', 'sweet']",Spring,Night
Haramain Signature Silver Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Incense, Orange, Artemisia and Rosemary","Cedar, Jasmine, Lily-of-the-Valley and Grapefruit","Tobacco, Sandalwood, Amber and Moss","['woody', 'tobacco', 'citrus', 'amber', 'white floral', 'sweet', 'smoky', 'warm spicy', 'powdery', 'balsamic']",All Season,Night
Urbanist Femme Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Pineapple, Apple, Lemon and Orange",Jasmine and Iris,"Musk, Patchouli and Amber","['fruity', 'citrus', 'sweet', 'fresh', 'musky', 'powdery', 'tropical', 'white floral', 'patchouli']",Summer,Night
Urbanist Femme Intense Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Pineapple, Apple, Lemon and Orange",Jasmine and Iris,"Patchouli, Amber and Musk","['fruity', 'sweet', 'patchouli', 'fresh', 'tropical', 'amber', 'white floral', 'woody', 'earthy', 'powdery']",All Season,Night
Urbanist Homme Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Petitgrain, Orange and Lemon","Lavender, Rosemary and Jasmine","Amber, Musk, Sandalwood and Tonka Bean","['aromatic', 'citrus', 'woody', 'fresh spicy', 'amber', 'powdery', 'musky', 'white floral', 'lavender', 'sweet']",Spring,Night
Urbanist Prive Silver Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Tobacco and Hazelnut,Toffee and Sandalwood,"Agarwood (Oud), Vanilla and Honey","['sweet', 'woody', 'tobacco', 'oud', 'vanilla', 'honey', 'nutty', 'powdery']",Winter,Night
Aali Almaqam Al-Rehabfor women and men,Al-Rehab,for women and men,"Pink Pepper, Pineapple and Calabrian bergamot","Ylang Ylang, Osmanthus, Geranium and Rosemary","Leather, Musk, Indonesian Patchouli Leaf and Haitian Vetiver","['aromatic', 'woody', 'fresh spicy', 'fruity', 'sweet', 'musky', 'floral', 'yellow floral', 'leather', 'patchouli']",Fall,Night
Al Fakhamah Al-Rehabfor women,Al-Rehab,for women,Floral Notes,Sandalwood,Musk and Jasmine,"['woody', 'powdery', 'musky', 'floral', 'warm spicy', 'white floral', 'balsamic']",All Season,Night
Allure of Love Al-Rehabfor women,Al-Rehab,for women,"Orange Oil, Bergamot, Coconut, Peach and Italian Mandarin","Lily of the Valley, Tropical Fruits, Orange Blossom, Jasmine and Rose","Sandalwood, Patchouli, Cedarwood, Amber and Musk","['citrus', 'white floral', 'woody', 'sweet', 'fruity', 'powdery', 'tropical', 'fresh', 'rose', 'amber']",All Season,Night
Arabisque Al-Rehabfor women and men,Al-Rehab,for women and men,Lime and Vanilla,"Citruses, Tuberose and Coriander","White Amber, Agarwood (Oud) and Musk","['citrus', 'amber', 'oud', 'musky', 'powdery', 'tuberose', 'vanilla', 'animalic', 'fresh spicy', 'white floral']",Spring,Night
Avenue Al-Rehabfor women and men,Al-Rehab,for women and men,Patchouli and Agarwood (Oud),"Lemon, Jasmine and Vanilla","Musk, Amber and Tonka Bean","['citrus', 'patchouli', 'oud', 'musky', 'amber', 'vanilla', 'aromatic', 'powdery', 'woody', 'warm spicy']",Winter,Night
Black Horse Al-Rehabfor men,Al-Rehab,for men,Tangerine and Orange,Lemongrass and Green Notes,Patchouli and Cedar,"['citrus', 'woody', 'patchouli', 'green', 'fresh spicy', 'warm spicy', 'sweet']",All Season,Day
CHE BELLA Al-Rehabfor women,Al-Rehab,for women,"Peach, Pear, Plum and Calabrian bergamot","Gardenia, Jasmine, Anise and Rose","Cedarwood, Amber and Musk","['fruity', 'white floral', 'sweet', 'musky', 'powdery', 'woody', 'citrus', 'amber', 'anis', 'rose']",Spring,Night
CLEOPATRA Al-Rehabfor women,Al-Rehab,for women,"Orange Oil, Ginger, Lemon, Italian Mandarin and Calabrian bergamot","Star Anise, Tobacco, Sugar and Rose","Tonka Bean, Cedarwood, Vanilla, Leather and Musk","['vanilla', 'amber', 'sweet', 'aromatic', 'warm spicy']",Winter,Night
Clever Man Al-Rehabfor men,Al-Rehab,for men,"Pomelo, Lime, Mandarin Orange, Bergamot, Galbanum, Rosemary, Pepper and Nutmeg","Jasmine, Cyclamen, Sage, Marigold and Freesia","Musk, Amber, Cedar, Patchouli and Labdanum","['musky', 'citrus', 'powdery', 'woody', 'amber', 'white floral', 'patchouli', 'animalic', 'sweet', 'herbal']",Spring,Night
Emerald Al-Rehabfor women,Al-Rehab,for women,Bitter Almond and Bergamot,Jasmine and Saffron,Virginia Cedar and Patchouli,"['woody', 'warm spicy', 'white floral', 'citrus', 'patchouli', 'almond', 'nutty', 'floral', 'earthy', 'fresh spicy']",All Season,Day
Ghala Al Bahrain Al-Rehabfor women,Al-Rehab,for women,"Orange, Jasmine, Violet and Lilac","Exotic Fruits, Fruity Notes, Rose, Pineapple, Strawberry, Lemon and Pomegranate","Nutmeg, Cloves and Cinnamon","['fruity', 'sweet', 'fresh spicy', 'warm spicy', 'citrus', 'floral', 'white floral', 'rose', 'fresh']",Spring,Day
Golden Dreams Al-Rehabfor women and men,Al-Rehab,for women and men,Saffron and Cardamom,Honey and Jasmine,Patchouli and Leather,"['honey', 'leather', 'patchouli', 'warm spicy', 'sweet', 'animalic', 'woody', 'earthy', 'metallic', 'floral']",Fall,Night
Hams Al Warood Al-Rehabfor women,Al-Rehab,for women,"Hyacinth, Lily, Rose and Syringa","Indian Mimosa, Jasmine and Leather",White Honey and Musk,"['floral', 'white floral', 'green', 'powdery', 'yellow floral', 'sweet', 'honey', 'rose', 'musky', 'fresh spicy']",Spring,Night
